,heading,content,keyword
0,Ctrl-labs 从 GV 和 Alexa Fund 融得 2800 万美元 用于神经接口,日前，纽约创企 Ctrl-labs 正在开发一种能够将电动肌肉冲动转化为数字信号的设备，该公司今天宣布，已经在谷歌风险投资部门 GV 领导的一轮融资中募集了 2800 万美元，另外参与投资的还有亚马逊的 Alexa Fund，Lux Capital，Spark Capital，Matrix Partners，Breyer Capital 和 Fuel Capital 等重量级人物。此前，Ctrl-labs 在去年 5 月获得了 2800 万美元的融资，并使该公司的总融资额达到 6700 万美元。首席执行官托马斯·里尔登（Thomas Reardon）表示，新资本将用于发展公司最近在旧金山开设的研发实验室，并支持其商业合作伙伴关系。他还说，该资金还将被用于构建和分发 Ctrl-labs 的开发工具包，即该公司于 12 月在芬兰赫尔辛基的 Slush 展出的 Ctrl-kit。（venturebeat）,"[('Ctrl', 0.4830209092080808), ('Capital', 0.4830209092080808), ('labs', 0.36226568190606057), ('2800', 0.2415104546040404), ('万美元', 0.2238620466987879)]"
1,Albertsons 联手微软云 期许 AI 改善客户体验,日前，Albertsons 作为美国最大食品和药品零售商之一，正大力采用微软的云解决方案，包括 Microsoft Azure 和 Microsoft 365，期许为客户和员工提供新的和变革性的体验。通过利用微软 Azure 作为超市首选的云平台，Albertsons 希望能够借助人工智能够减少客户在购物体验中的不愉快体验。「我们正在重新构想未来，以他们想要在所有渠道与我们互动的方式为客户提供服务，」Albertsons 执行副总裁兼首席信息官 Anuj Dhanda 说。「微软在 Albertsons Companies 大规模应用的认知技术，人工智能和数据科学方面的优势将改变我们商店和数字化的客户体验。」（lightreading）,"[('Albertsons', 0.5692746429952381), ('体验', 0.3539513774223809), ('微软', 0.32233858317035713), ('客户', 0.29071576741142857), ('Microsoft', 0.28463732149761906)]"
2,亚马逊利用机器人提高工厂工作效率,"据外媒报道，亚马逊目前已拥有超过 25 个机器人中心，亚马逊机器人公司的首席技术专家 Tye Brady 表示这已经改变了公司的运营方式。在机器人的帮助下，过去需要花费一天左右完成的工作如今在不到一小时的时间内就可以完成，在同等情况下，他们能够多容纳约 40% 的商品。他表示，使用机器人的目标是「扩展人们的能力」，这样人类就可以专注于解决问题并在必要时进行干预。Brady 提到，自 2012 年收购物流机器人制造商 Kiva 以来，亚马逊全面投入机器人技术，他们创造了 30 万个新工作岗位，使全球亚马逊员工总数达到 645,000 人。他相信「协作机器人」是未来人类生产力和就业增长的关键。（TheJakartaPost）","[('机器人', 0.6248526165147368), ('亚马逊', 0.4449883428126316), ('Brady', 0.2516793158505263), ('外媒', 0.12583965792526314), ('25', 0.12583965792526314)]"
3,SilverPush B 轮融得 500 万美元 将用于提高 AI 能力,SilverPush 是一家专注于多屏幕的营销技术平台，已经在全球营销技术公司 FreakOut Holdings 的带领下于 B 轮融资中筹得 500 万美元。该资金将用于进一步扩大 SilverPush 在全球的业务，包括亚太地区的新市场，如香港，澳大利亚和韩国;并提高人工智能（AI）能力，以期将该技术应用于广告以外的行业。（economictimes）,"[('SilverPush', 0.5433985228590908), ('营销', 0.32771978975272725), ('技术', 0.32178117126613637), ('FreakOut', 0.2716992614295454), ('Holdings', 0.2716992614295454)]"
4,英特尔称其5G调制解调器芯片不会早于2020年在手机中推出,路透社报道称，英特尔公司高管上周五称其5G调制解调器芯片将不会早于2020年在手机中推出，这增加了其最大客户Apple公司在提供使用更快网络的设备方面落后竞争对手一年多的可能性。（路透社）,"[('路透社', 0.6173736387310346), ('调制解调器', 0.4238358530862069), ('高管', 0.4122333621689655), ('称其', 0.4122333621689655), ('5G', 0.4122333621689655)]"
5,微软助力艾森克美孚利用云计算帮助油田开采,路透社消息，埃克森美孚与微软于本周五表示已确定在美国石油生产商的页岩矿业务中使用云计算技术，并表示这将有助于美国最大页岩油田的盈利水平。据悉，该合作伙伴关系是云计算领域最大的一次合作，该技术可以立即检测设备泄漏，减少远程位置的维修时间，并应用人工智能分析钻井和完井数据。,"[('页岩', 0.35864053446875), ('完井', 0.24905765631041665), ('计算技术', 0.21675354355208332), ('埃克森', 0.2117293340354167), ('美孚', 0.21029198254583334)]"
6,谷歌 AI 新博客 从稀疏和未指定的奖励中学习概括,强化学习（RL）为优化面向目标的行为提供了统一且灵活的框架，并且在解决诸如玩视频游戏，连续控制和机器人学习等具有挑战性的任务方面取得了显著成功。RL 算法在这些应用领域的成功往往取决于高质量和密集奖励反馈的可用性。然而，将 RL 算法的适用性扩展到具有稀疏和未指定奖励的环境是一个持续的挑战，需要学习代理从有限的反馈中概括（即，学习正确的行为）。在这种问题设置中研究 RL 算法性能的一种自然方法是通过语言理解任务，其中为代理提供自然语言输入，并且需要生成复杂的响应以实现输入中指定的目标，同时仅接收二进制成功失败的反馈。,"[('RL', 0.5087135107617021), ('算法', 0.27737845209989365), ('反馈', 0.2644962620932979), ('学习', 0.24583488582595744), ('奖励', 0.1611982699912766)]"
7,DeepMind 新论文「世界探索模型」,DeepMind 新论文介绍道，作为人类，我们渴望在我们的世界中寻求新奇。在观察一种新颖的模式后，我们能够根据新的信息改善我们对世界的理解，人类由此可以发现世界。人类思维对于发现的杰出能力已经在科学，艺术和技术方面取得了许多突破。在这里，我们研究了使用现代 AI 技术构建能够发现其世界智能体的可能性。我们特别介绍了 NDIGO，神经差分信息增益优化，这是一种自我监督的发现模型，旨在寻找新信息，通过部分和嘈杂的观测来构建其世界的全局视图。我们对一些受控二维导航任务的实验表明，NDIGO 在学习表示的质量方面优于最先进的信息搜索方法。在存在白噪声或结构噪声的情况下，性能的改善尤其显著。,"[('NDIGO', 0.22138458338703704), ('我们', 0.21980764600861114), ('世界', 0.20220043544305555), ('信息', 0.19458743306555557), ('发现', 0.16196473565925926)]"
8,Global Market Insights: 至2025年，AI+制造业市场将达到160亿美元,根据2019年 Global Market Insights 的报告，人工智能+制造业市场将从2018年的10亿美元爬升至2025年的160多亿美元。 制造业市场中的人工智能是由工业4.0技术的快速采用推动的。 制造商越来越需要降低运营成本和提高运营效率，这是推动工业4.0采用的首要因素。此外，由于制造业先进技术的激增，欧洲制造业市场+人工智能将以44％的复合年增长率增长至2025年。,"[('人工智能', 0.5066799854726786), ('制造业', 0.46596742422428566), ('2025', 0.42695598224642856), ('4.0', 0.42695598224642856), ('运营', 0.24653863103535714)]"
9,2020年iPhone搭载的A14将采用5纳米工艺,据台湾媒体 DigiTimes 的消息称，今年的新款 iPhone 将搭载 A13 芯片，根据之前的报告，A13 芯片会继续采用 7 纳米工艺，与去年的 A12 芯片相同。而未来将于2020 年发布的全新 iPhone 将搭载 A14 芯片，会采用更先进的 5 纳米工艺芯片。为苹果代工 5 纳米芯片的仍然是台积电（TSMC）。,"[('芯片', 1.25620993284), ('纳米', 0.6543410982509301), ('iPhone', 0.5560356978093023), ('A13', 0.5560356978093023), ('搭载', 0.3901046002702326)]"
10,亚马逊利用机器人提高工厂工作效率,"据外媒报道，亚马逊目前已拥有超过 25 个机器人中心，亚马逊机器人公司的首席技术专家 Tye Brady 表示这已经改变了公司的运营方式。在机器人的帮助下，过去需要花费一天左右完成的工作如今在不到一小时的时间内就可以完成，在同等情况下，他们能够多容纳约 40% 的商品。他表示，使用机器人的目标是「扩展人们的能力」，这样人类就可以专注于解决问题并在必要时进行干预。Brady 提到，自 2012 年收购物流机器人制造商 Kiva 以来，亚马逊全面投入机器人技术，他们创造了 30 万个新工作岗位，使全球亚马逊员工总数达到 645,000 人。他相信「协作机器人」是未来人类生产力和就业增长的关键。","[('机器人', 0.6314999847755319), ('亚马逊', 0.4497222613531915), ('Brady', 0.25435675538085106), ('外媒', 0.12717837769042553), ('25', 0.12717837769042553)]"
11,北京市已将2100多名号贩子信息录入各大医院人脸识别系统,北京市卫健委透露，北京市已将2100多名号贩子信息录入北京各大医院人脸识别系统。北京目前已有30余家医疗机构配备了人脸识别系统，重点医院将共享2017年以来，被公安机关处罚的2100余名号贩子的头像信息、身份证信息等。未来这些人一旦进入医院，系统就能立刻监控到这些号贩子。,"[('贩子', 0.5993500943910638), ('2100', 0.5087135107617021), ('人脸识别', 0.5087135107617021), ('医院', 0.3742220053576596), ('信息', 0.3353528101768085)]"
12,深度学习识别语音模式中的抑郁症,机器之心获悉，英伟达技术博客透露，心理治疗师经常使用「谈话疗法」来帮助患者通过谈话克服抑郁或焦虑。麻省理工学院的一个研究小组正在利用深度学习来揭示「谈话诊断」，意即通过分析患者的言语来检测抑郁症的迹象。研究人员称。该研究或能有效且廉价地诊断严重的心理健康问题。,"[('谈话', 0.4309571211122449), ('诊断', 0.28300859238204085), ('治疗师', 0.26954143819183674), ('廉价地', 0.26954143819183674), ('研究', 0.2647194863234694)]"
13,亚马逊七亿美元押注电动皮卡公司Rivian 特斯拉迎来竞争,据英国路透社2月15日报道，美国电子商务巨头亚马逊公司本月15日宣布，将带头对特斯拉汽车竞争对手——美国电动皮卡初创公司Rivian投资7亿美元，这是亚马逊在可能革新汽车行业的技术上押下的最大赌注。Rivian渴望成为第一家生产大众市场电动皮卡的制造商，该公司计划在2020年底前开始销售其电动皮卡R1T。此外，该公司计划与其他公司合作开发先进的自动驾驶技术，而非单独开发。,"[('皮卡', 0.506701649934375), ('15', 0.373586484465625), ('Rivian', 0.373586484465625), ('电动', 0.351194477855625), ('亚马逊', 0.33026478568125)]"
14,《柳叶刀》：人工智能可识别九类急性脑CT异常,在新的研究中，人工智能深度学习算法能够准确识别头部CT扫描中9种不同程度的异常。研究人员从印度20家医院门诊放射中心，收集了超过313000张匿名患者的头部CT扫描影像来训练其算法，并随机选择9000多名患者的21000个扫描样本验证算法。结果显示算法能够准确识别头部CT扫描中9种不同的严重异常。这项由印度Qure.ai公司资助，题为《Deep learning algorithms for detection of critical findings in head CT scans: a retrospective study》的研究，发表在《柳叶刀》（The Lancet）杂志上。,"[('CT', 0.6210268832675324), ('算法', 0.4514904674872727), ('扫描', 0.44192468081142855), ('头部', 0.2842355739362337), ('识别', 0.19861945039999998)]"
15,虚拟现实医疗公司VRHealth创新VR技术，帮助乳腺癌患者降低化疗副作用,近日，虚拟现实医疗公司VRHealth发布了最新的研究报告，报告显示，患有潮热和盗汗的乳腺癌患者在接受了该公司的VR-AI治疗后，潮热和盗汗症状减少了50%。在这次治疗当中，VRHealth让患者每天佩戴VR眼镜，持续24天，以体验完全身临其境的虚拟现实。通过VR眼镜，给患者呈现360度冬雪全景，随时观察患者的生活状态。在每天接触「很冷」的VR虚拟冬季世界后，乳腺癌患者的潮热和盗汗减少了50%。此外，研究还发现部分患有心理疾病的乳腺癌患者心理困扰也有所降低。VRHealth是全球首家获得认证的虚拟现实（VR）医疗公司，其所有治疗应用均已通过FDA注册。VRHealth使用XR技术（VR、AR、MR的融合）创建治疗应用，通过平台收集患者与虚拟对象的交互情况，再通过AI云计算分析患者的缓解程度，最后强化应用的治疗效果，为患者提供个性化的治疗方案。,"[('VR', 0.5603797266984375), ('患者', 0.446337813358125), ('VRHealth', 0.373586484465625), ('虚拟现实', 0.3095514954234375), ('治疗', 0.2730221777221875)]"
16,Global Market Insights: 至2025年，AI+制造业市场将达到160亿美元,根据2019年 Global Market Insights 的报告，人工智能+制造业市场将从2018年的10亿美元爬升至2025年的160多亿美元。 制造业市场中的人工智能是由工业4.0技术的快速采用推动的。 制造商越来越需要降低运营成本和提高运营效率，这是推动工业4.0采用的首要因素。此外，由于制造业先进技术的激增，欧洲制造业市场+人工智能将以44％的复合年增长率增长至2025年。,"[('人工智能', 0.5066799854726786), ('制造业', 0.46596742422428566), ('2025', 0.42695598224642856), ('4.0', 0.42695598224642856), ('运营', 0.24653863103535714)]"
17,深度学习识别语音模式中的抑郁症,机器之心获悉，英伟达技术博客透露，心理治疗师经常使用「谈话疗法」来帮助患者通过谈话克服抑郁或焦虑。麻省理工学院的一个研究小组正在利用深度学习来揭示「谈话诊断」，意即通过分析患者的言语来检测抑郁症的迹象。研究人员称。该研究或能有效且廉价地诊断严重的心理健康问题。,"[('谈话', 0.4309571211122449), ('诊断', 0.28300859238204085), ('治疗师', 0.26954143819183674), ('廉价地', 0.26954143819183674), ('研究', 0.2647194863234694)]"
